Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Brownies In The Basin","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756787/brownies-in-the-basin,2.4,-1,"Trad, Sport",5.9+,2,,40.0005,-105.3895
"Night Vision","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751810/night-vision,2.5,-1,"Trad, Sport","5.10b PG13",3,,40.0005,-105.3895
"Corn on the Cob","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764739/corn-on-the-cob,1.9,-1,"Trad, Sport",5.10b/c,1,70,40.0005,-105.3895
"Thunder Road","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764868/thunder-road,2.6,-1,Sport,5.12-,1,70,40.0005,-105.3895
"Maid Marian","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748041/maid-marian,1.1,-1,Sport,5.9,1,,40.0014,-105.3959
"The Prince and The Pauper","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106466173/the-prince-and-the-pauper,1.8,-1,Sport,5.10a,1,60,40.0014,-105.3959
"Boyz From The Hood","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106050176/boyz-from-the-hood,1.4,-1,Sport,5.10b,1,60,40.0014,-105.3959
"Men in Tights","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760656/men-in-tights,2.5,-1,Sport,5.10b,1,60,40.0014,-105.3959
"Tony Bubb's Little Stick","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762816/tony-bubbs-little-stick,1.7,-1,Sport,5.10c,1,70,40.0014,-105.3959
"Tuckered and Fried","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748038/tuckered-and-fried,2.4,-1,Sport,5.10c,1,,40.0014,-105.3959
"Fatman and Robin","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762801/fatman-and-robin,2.2,-1,Sport,5.10d,1,70,40.0014,-105.3959
"Merry Men","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748026/merry-men,2.4,-1,Sport,5.11a,1,,40.0014,-105.3959
"Sheriff's Tariff","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748035/sheriffs-tariff,2.7,-1,Sport,5.11a/b,1,,40.0014,-105.3959
"Robbin' the Hood","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748032/robbin-the-hood,2.8,-1,Sport,5.11c,1,,40.0014,-105.3959
"Prince of Thieves","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748029/prince-of-thieves,3.1,-1,Sport,5.12b,1,,40.0014,-105.3959
"Thanks Bill Left","Bummers Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748157/thanks-bill-left,1.5,-1,Sport,"5.11a R",2,,40.0095,-105.3434
"Suspended Man","Bummers Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748151/suspended-man,1.0,-1,Sport,5.12b,2,,40.0095,-105.3434
"Moby Dike","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764400/moby-dike,1.5,-1,Sport,5.10b,1,60,40.0018,-105.3869
Reveille,"Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759228/reveille,2.0,-1,"Trad, Sport",5.10d,1,90,40.0018,-105.3869
Electricity,"Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105761691/electricity,1.3,-1,"Trad, Sport",5.12a,2,150,40.0018,-105.3869
"Rise and Shine","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759225/rise-and-shine,3.2,-1,Sport,5.12a,1,90,40.0018,-105.3869
"Return To Sender","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105761676/return-to-sender,2.1,-1,Sport,5.12a/b,2,130,40.0018,-105.3869
"Peach Cobbler","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107926712/peach-cobbler,2.7,-1,Sport,5.12b,1,50,40.0018,-105.3869
"Welcome Home","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105763506/welcome-home,2.0,-1,Sport,5.12b/c,1,40,40.0018,-105.3869
"The Spins","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105763530/the-spins,1.5,-1,"Trad, Sport",5.12c,1,60,40.0018,-105.3869
"The Jitters","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759231/the-jitters,2.0,-1,Sport,5.12c,1,80,40.0018,-105.3869
"The Buzz","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753976/the-buzz,2.7,-1,Sport,5.12d,1,,40.0018,-105.3869
"The Lorax","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759219/the-lorax,3.8,-1,Sport,5.13b,1,90,40.0018,-105.3869
"Speaks For The Trees","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/117259145/speaks-for-the-trees,4.0,-1,Sport,5.14c,1,80,40.0018,-105.3869
"Last Laugh","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756565/last-laugh,2.2,-1,"Trad, Sport, TR",5.11a,1,100,40.0033,-105.3939
Qs,"The Boulderado > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748105/qs,2.5,-1,"Sport, TR",5.9+,1,,39.99738,-105.41615
"Jazz on the Mezzanine","The Boulderado > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762738/jazz-on-the-mezzanine,2.6,-1,Sport,5.12b,1,40,39.99738,-105.41615
"That's Weak","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748274/thats-weak,2.1,-1,"Sport, TR",5.10a,1,,39.997,-105.4139
"The Politician","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/111972843/the-politician,2.6,-1,Sport,5.10a,1,100,39.997,-105.4139
Climb-Eye-Knight,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764010/climb-eye-knight,2.2,-1,Sport,5.10b,1,90,39.997,-105.4139
"Monkey's Sister","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106546321/monkeys-sister,1.6,-1,Sport,5.10,1,70,39.997,-105.4139
"Monkey's Uncle","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757210/monkeys-uncle,2.1,-1,Sport,5.10d,1,,39.997,-105.4139
"Pin Cushion","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760398/pin-cushion,2.0,-1,Sport,5.11c,1,50,39.997,-105.4139
"Trash It and Move On","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758443/trash-it-and-move-on,2.6,-1,"Trad, Sport",5.11c,2,170,39.997,-105.4139
"The Bureau (Pitch 1)","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106180614/the-bureau-pitch-1,2.9,-1,Sport,5.11d,1,50,39.997,-105.4139
"Fear of Sunlight","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751471/fear-of-sunlight,1.6,-1,Sport,5.11d,1,70,39.997,-105.4139
"Blood Doll","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760515/blood-doll,2.0,-1,Sport,5.12a,1,80,39.997,-105.4139
"Le Stat","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760338/le-stat,2.5,-1,Sport,5.12a,2,140,39.997,-105.4139
"The Good, The Bad, and The Jacked","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758419/the-good-the-bad-and-the-jacked,3.5,-1,Sport,5.12a,2,150,39.997,-105.4139
A.C.E.,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764058/ace,1.7,-1,Sport,5.12a,1,80,39.997,-105.4139
Wanker,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757207/wanker,3.0,-1,Sport,5.12a/b,1,,39.997,-105.4139
Transylverlina,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/119242027/transylverlina,1.5,-1,Sport,5.12b,4,,39.997,-105.4139
3Ts,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121185106/3ts,4.0,-1,Sport,5.12b,2,150,39.997,-105.4139
"Wanker (upper)","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121727595/wanker-upper,3.0,-1,Sport,5.12b,1,90,39.997,-105.4139
"Heart of the Narrows","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764007/heart-of-the-narrows,2.3,-1,Sport,5.12b,4,350,39.997,-105.4139
Wimps,"Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/111216924/wimps,1.8,-1,Sport,5.8+,1,45,39.98709,-105.43728
Gimps,"Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/111216940/gimps,1.9,-1,Sport,5.9-,1,45,39.98709,-105.43728
Arête,"Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748331/arete,2.4,-1,"Sport, TR",5.10b,1,50,39.98709,-105.43728
Antagonism,"Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748340/antagonism,2.4,-1,"Sport, TR",5.12b,1,50,39.98709,-105.43728
"Gyro Captain","Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105761721/gyro-captain,2.2,-1,Sport,5.12b,1,30,39.98709,-105.43728
"Mr. Spiffy","Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759582/mr-spiffy,2.5,-1,Sport,5.13a,1,30,39.98709,-105.43728
Caddis/Argus,"Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764013/caddisargus,1.8,-1,"Sport, Boulder","5.13c V10",1,40,39.98709,-105.43728
"Mr. Stiffy","Nip and Tuck > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/111030257/mr-stiffy,3.0,-1,Sport,5.14a,1,40,39.98709,-105.43728
Unknown,"Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105992126/unknown,0.7,-1,Sport,5.9,1,35,39.9871,-105.4384
"Contortionist's Pleasure","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105992111/contortionists-pleasure,0.8,-1,"Trad, Sport",5.9+,1,30,39.9871,-105.4384
"Unknown Variation","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105992133/unknown-variation,1.3,-1,Sport,5.10b,1,35,39.9871,-105.4384
"Québec Connection","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105850549/quebec-connection,1.6,-1,"Trad, Sport",5.11a,1,50,39.9871,-105.4384
"Magie Noire","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105852519/magie-noire,2.2,-1,Sport,5.11b,1,40,39.9871,-105.4384
"El Gallito","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105993425/el-gallito,2.2,-1,Sport,5.11c,1,40,39.9871,-105.4384
"Turkey Neck Direct","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106209571/turkey-neck-direct,2.3,-1,"Sport, TR",5.11+,1,50,39.9871,-105.4384
"Warlock Pinchers","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106209610/warlock-pinchers,1.9,-1,"Sport, TR",5.12a,1,42,39.9871,-105.4384
"Pinche Guey","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106209595/pinche-guey,2.8,-1,Sport,5.12b,1,45,39.9871,-105.4384
"Warlock Pinche","Stepping Stones > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107520576/warlock-pinche,3.0,-1,Sport,5.12b,1,60,39.9871,-105.4384
"Gluten Free","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107578406/gluten-free,2.2,-1,"Trad, Sport",5.10,1,70,39.9787,-105.4551
"Beetle Bailey","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106522797/beetle-bailey,2.6,-1,Sport,5.10,1,70,39.9787,-105.4551
"The Big Splash","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105955297/the-big-splash,1.4,-1,Sport,5.10,2,120,39.9787,-105.4551
"Water World","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105838180/water-world,2.5,-1,"Trad, Sport",5.11-,1,90,39.9787,-105.4551
"Polyester Leisure Suit","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757729/polyester-leisure-suit,1.7,-1,"Trad, Sport, TR",5.11b,1,90,39.9787,-105.4551
"Storming the Castle","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106118679/storming-the-castle,2.7,-1,Sport,5.11,1,50,39.9787,-105.4551
"Subterranean Homesick Blues","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105834643/subterranean-homesick-blues,2.4,-1,"Trad, Sport",5.12-,2,180,39.9787,-105.4551
"Nuclear Winter","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/113833421/nuclear-winter,2.5,-1,Sport,5.12b/c,1,60,39.9787,-105.4551
"Close To the Edge","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105997014/close-to-the-edge,2.3,-1,Sport,5.12b/c,1,,39.9787,-105.4551
"Tourist Extravagance","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106332952/tourist-extravagance,2.3,-1,Sport,5.12d,1,50,39.9787,-105.4551
"Wild Times","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/118870036/wild-times,3.0,-1,Sport,5.13a/b,-1,50,39.9787,-105.4551
"Alien Sex Toy","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/113829263/alien-sex-toy,3.3,-1,Sport,5.13b,1,60,39.9787,-105.4551
"Crank It (aka Slabio)","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753658/crank-it-aka-slabio,3.0,-1,Sport,5.13c,1,,39.9787,-105.4551
Deadline,"Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759816/deadline,3.4,-1,"Trad, Sport",5.13d,1,40,39.9787,-105.4551
Frictionary,"South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749821/frictionary,1.7,-1,"Sport, TR",5.7,1,,39.97305,-105.46306
"The Touch","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749824/the-touch,2.2,-1,"Trad, Sport",5.8,1,,39.97305,-105.46306
"Monkey Bob","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764040/monkey-bob,2.0,-1,"Sport, TR",5.8,1,,39.97305,-105.46306
"Choss Temple Pilots","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752299/choss-temple-pilots,2.1,-1,Sport,5.8,1,,39.97305,-105.46306
"Vitamin V","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764184/vitamin-v,1.8,-1,Sport,5.9,1,50,39.97305,-105.46306
"Chasing Sticks","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755278/chasing-sticks,1.9,-1,Sport,5.9,1,,39.97305,-105.46306
"Dutch Oven","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752227/dutch-oven,1.8,-1,Sport,5.9,1,,39.97305,-105.46306
"Double Down","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764166/double-down,1.7,-1,Sport,5.9+,1,50,39.97305,-105.46306
"Dirty Dave's Dumpster Dive","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764181/dirty-daves-dumpster-dive,1.8,-1,Sport,5.10a,1,50,39.97305,-105.46306
"Wavy Gravy","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764187/wavy-gravy,1.8,-1,Sport,5.10a,1,50,39.97305,-105.46306
"Killer Fish Taco","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105754729/killer-fish-taco,2.3,-1,Sport,5.11a,1,,39.97305,-105.46306
"The Fix","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105754732/the-fix,2.4,-1,Sport,5.11a,1,,39.97305,-105.46306
"Platinum Curl","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752233/platinum-curl,1.9,-1,Sport,5.11b,1,,39.97305,-105.46306
"Hood Surfing In Socks","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752230/hood-surfing-in-socks,1.7,-1,Sport,5.11c,1,,39.97305,-105.46306
"Wise Crack","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758590/wise-crack,1.7,-1,Sport,5.8,1,60,39.973,-105.4634
"The Other One","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753604/the-other-one,2.7,-1,Sport,5.11a,1,,39.973,-105.4634
"Pocket Fisherman","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868232/pocket-fisherman,1.7,-1,Sport,5.11a/b,1,65,39.973,-105.4634
"Space Goats","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107281525/space-goats,2.8,-1,Sport,5.11c/d,1,70,39.973,-105.4634
"Mercy Drilling","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758020/mercy-drilling,2.6,-1,"Trad, Sport",5.12a,1,60,39.973,-105.4634
Impeachara,"West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/112560329/impeachara,2.4,-1,Sport,5.12a/b,1,50,39.973,-105.4634
"Furious Howard Brown","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753808/furious-howard-brown,3.1,-1,Sport,5.12a/b,1,,39.973,-105.4634
"Curve of Binding Energy","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753811/curve-of-binding-energy,2.4,-1,Sport,5.12a/b,1,,39.973,-105.4634
"American Beauty","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757510/american-beauty,3.1,-1,Sport,5.12b,1,70,39.973,-105.4634
"Shakedown Street","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106827742/shakedown-street,2.1,-1,Sport,5.12c,1,60,39.973,-105.4634
"Percocet Arete","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868207/percocet-arete,0.9,-1,Sport,5.10,1,40,39.9726,-105.4648
"King Of The Highway","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868196/king-of-the-highway,1.0,-1,Sport,5.11b,1,40,39.9726,-105.4648
"Knocking on Heaven's Door","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/111874011/knocking-on-heavens-door,1.0,-1,Sport,5.11c,1,40,39.9726,-105.4648
"High Test","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106359479/high-test,2.2,-1,Sport,5.12-,1,40,39.9726,-105.4648
"Owl JuJu","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868274/owl-juju,2.0,-1,Sport,5.11a,1,60,39.9728,-105.4636
"Owl On The Prowl","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755044/owl-on-the-prowl,2.7,-1,Sport,5.11b,1,,39.9728,-105.4636
"Linking Logs","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105835496/linking-logs,2.5,-1,Sport,5.11c,1,70,39.9728,-105.4636
"Ground Zero","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755041/ground-zero,2.2,-1,Sport,5.11c/d,1,,39.9728,-105.4636
"Chicken Hawk","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748876/chicken-hawk,2.0,-1,"Sport, TR",5.9,1,,39.97234,-105.4631
"Wessel in the Chicken Coop","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751024/wessel-in-the-chicken-coop,1.5,-1,Sport,5.9,1,,39.97234,-105.4631
"Mommy Blocker","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752284/mommy-blocker,1.4,-1,Sport,5.10a,1,,39.97234,-105.4631
"Chicken Delight","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752269/chicken-delight,2.0,-1,Sport,5.10b,1,,39.97234,-105.4631
"Rubber Chicken","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752272/rubber-chicken,2.4,-1,Sport,5.10c,1,,39.97234,-105.4631
"Daddy Blocker","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752281/daddy-blocker,1.4,-1,Sport,5.11a,1,,39.97234,-105.4631
"Chicken Lips","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752275/chicken-lips,2.2,-1,Sport,5.11b,1,,39.97234,-105.4631
"Alfa Chick","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752278/alfa-chick,2.1,-1,Sport,5.11+,1,,39.97234,-105.4631
"Infra-Red Riding Hood","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752368/infra-red-riding-hood,1.8,-1,Sport,5.10a,1,,39.97207,-105.46336
"Mother Goose","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752371/mother-goose,1.8,-1,Sport,5.10b/c,1,,39.97207,-105.46336
Infa-Goose,"Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/114286271/infa-goose,1.4,-1,Sport,5.10b/c,1,60,39.97207,-105.46336
"The Big Dipper","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748885/the-big-dipper,2.9,-1,Sport,5.10d,1,,39.97207,-105.46336
"Three Little Pigs","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106002738/three-little-pigs,1.9,-1,Sport,5.11a,1,65,39.97207,-105.46336
"Pump Dipper","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/119611481/pump-dipper,1.0,-1,Sport,5.11-,1,45,39.97207,-105.46336
"Hee Haw","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868187/hee-haw,1.5,-1,Sport,5.11-,1,45,39.97207,-105.46336
"Butt Luscious","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749533/butt-luscious,2.7,-1,Sport,5.11+,1,,39.97207,-105.46336
"Leave it to Beaver","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106555935/leave-it-to-beaver,2.0,-1,Sport,5.11c/d,1,50,39.97207,-105.46336
"Beaver Fever","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753559/beaver-fever,1.6,-1,Sport,5.11d,1,,39.97207,-105.46336
"Jolly Jug","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764235/jolly-jug,2.2,-1,Sport,5.12a/b,1,50,39.97207,-105.46336
"Go Dog Go","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764238/go-dog-go,2.7,-1,Sport,5.12b,1,50,39.97207,-105.46336
"No Doze","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748888/no-doze,2.5,-1,Sport,5.12b,1,,39.97207,-105.46336
"Hair Shirt","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106159340/hair-shirt,2.0,-1,Sport,5.12,1,60,39.97207,-105.46336
"Mutant Overload","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/108233340/mutant-overload,2.7,-1,Sport,5.12c,1,60,39.97207,-105.46336
"Pump Truck","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106220667/pump-truck,2.2,-1,Sport,5.12+,1,,39.97207,-105.46336
"Salad Shooter","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106756865/salad-shooter,2.3,-1,Sport,5.12d,1,30,39.97207,-105.46336
"Beaver Overload","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/113434247/beaver-overload,3.0,-1,Sport,5.12d,1,60,39.97207,-105.46336
"Geek in the Creek","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751867/geek-in-the-creek,1.4,-1,Sport,5.8,1,,39.97313,-105.46275
